WaterTrt,MetarhiziumTrt,Height Average,h.se,Biomass,b.se
adequate,inoc,123.9259259,0.401814226,12.58518519,0.224083548
adequate,uninoc,122.1222222,0.370590153,10.89925926,0.203156087
deficit,inoc,103.1148148,0.350696414,7.353333333,0.087047887
deficit,uninoc,99.41851852,0.353488527,7.010740741,0.093736069
excess,inoc,125.937037,0.438092246,14.04333333,0.310725001
excess,uninoc,129.4407407,0.412977028,14.82296296,0.309433696
