WaterTrt,DetectionCode,sd,h.se,Height,Biomass,b.se
deficit,Det,8.035217,0.446400944,105.53333,7.140555556,0.142338401
deficit,ND,10.710133,1.190014778,98.27778,7.778888889,0.213663983
deficit,_,9.54419,0.353488519,99.41852,7.010740741,0.093736069
adequate,Det,11.386497,0.517568045,124.32273,12.645,0.291741293
adequate,ND,8.927598,1.7855196,122.18,12.322,0.928612298
adequate,_,10.005934,0.40023736,122.12222,10.89925926,0.219408574
excess,Det,12.048881,0.803258733,129.58667,17.09294118,0.634213238
excess,ND,10.250244,0.854186992,121.375,10.73583333,0.447191123
excess,_,11.550155,0.481256458,128.56818,14.3992,0.315586489
